Date,Destination,Min Price
2022-07-17,HYD,39.25
2022-07-17,CCU,37.01
2022-07-18,BOM,40.31
2022-07-18,BLR,36.25
2022-07-18,MAA,38.68
2022-07-18,HYD,39.25
2022-07-18,CCU,37.01
2022-07-19,BOM,40.31
2022-07-19,BLR,36.25
2022-07-19,MAA,38.68
2022-07-19,HYD,39.25
2022-07-19,CCU,37.01
2022-07-20,BOM,40.31
2022-07-20,BLR,36.25
2022-07-20,MAA,38.68
2022-07-20,CCU,37.01
2022-07-21,BOM,40.31
2022-07-21,BLR,36.25
2022-07-21,MAA,38.68
2022-07-21,HYD,39.25
2022-07-21,CCU,37.01
2022-07-22,BOM,40.31
2022-07-22,MAA,38.68
2022-07-22,HYD,39.25
2022-07-22,CCU,37.01
2022-07-23,BLR,36.25
2022-07-23,MAA,38.68
2022-07-23,HYD,39.25
2022-07-23,CCU,37.01
2022-07-24,BOM,40.31
2022-07-24,MAA,38.68
2022-07-24,HYD,39.25
2022-07-24,CCU,37.01
2022-07-25,BOM,40.31
2022-07-25,BLR,36.25
2022-07-25,HYD,39.25
2022-07-25,CCU,37.01
2022-07-26,BOM,40.31
2022-07-26,BLR,36.25
2022-07-26,MAA,38.68
